gc_orgID,GCOrg_legal_title,GCOrg_abbreviation,Candidate_infobaseID,Candidate_legal_title,Candidate_status,Candidate_end_fin,MatchScore,SecondBestScore,ReviewReasons
2307,Canadian Institutes of Health Research,,74,Canadian Institutes of Health Research,a,,100,80,
3537,Canadian Intellectual Property Office,,75,Canadian Intellectual Property Office,a,,100,65,
2248,Canadian Intergovernmental Conference Secretariat,,76,Canadian Intergovernmental Conference Secretariat,a,,100,59,
3684,Canadian International Development Agency,,77,Canadian International Development Agency,t,2013,100,83,
3521,Canadian International Grains Institute,,78,Canadian International Grains Institute,d,2013,100,80,
3685,Canadian International Trade Tribunal,,79,Canadian International Trade Tribunal,t,2014,100,76,
3454,Canadian Livestock Records Corporation,,80,Canadian Livestock Records Corporation,a,,100,78,
3620,Canadian Museum for Human Rights,,81,Canadian Museum for Human Rights,a,,100,82,
3621,Canadian Museum of History,,82,Canadian Museum of History,a,,100,83,
3622,Canadian Museum of Immigration at Pier 21,,84,Canadian Museum of Immigration at Pier 21,a,,100,83,
3623,Canadian Museum of Nature,,85,Canadian Museum of Nature,a,,100,83,
2249,Canadian Northern Economic Development Agency,,86,Canadian Northern Economic Development Agency,a,,100,88,
2308,Canadian Nuclear Safety Commission,,87,Canadian Nuclear Safety Commission,a,,100,86,
3538,Canadian Pari-Mutuel Agency,,88,Canadian Pari-Mutuel Agency,a,,100,83,
3455,Canadian Partnership Against Cancer Corporation (CPAC),,89,Canadian Partnership Against Cancer Corporation (CPAC),a,,100,78,
3456,Canadian Patient Safety Institute (CPSI),,90,Canadian Patient Safety Institute (CPSI),d,2020,100,73,
3624,Canadian Race Relations Foundation,,92,Canadian Race Relations Foundation,a,,100,75,
2396,Canadian Radio-television and Telecommunications Commission,,93,Canadian Radio-television and Telecommunications Commission,a,,100,86,
2250,Canadian Security Intelligence Service,,94,Canadian Security Intelligence Service,a,,100,71,
2251,Canadian Space Agency,,95,Canadian Space Agency,a,,100,83,
3457,Canadian Sport Institute Ontario,,96,Canadian Sport Institute Ontario,a,,100,76,
3647,Canadian Tourism Commission,,97,Canadian Tourism Commission,a,,100,86,
2309,Canadian Transportation Accident Investigation and Safety Board,,98,Canadian Transportation Accident Investigation and Safety Board,a,,100,86,
2252,Canadian Transportation Agency,,99,Canadian Transportation Agency,a,,100,86,
3561,Canadian War Museum,,81,Canadian Museum for Human Rights,a,,88,88,low_score;collision_top2_close
3522,"Canadian Wheat Board, The",,100,"Canadian Wheat Board, The",d,2014,100,73,
3401,Caribbean Development Bank,,103,Caribbean Development Bank,a,,100,88,
3523,Centre national multisport-Montréal,,104,Centre national multisport-Montréal,d,2012,100,71,
3458,Charlottetown Airport Authority Inc.,,105,Charlottetown Airport Authority Inc.,a,,100,85,
2290,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,,295,Royal Canadian Mounted Police,a,,100,100,collision_top2_close
3459,Coaching Association of Canada,,107,Coaching Association of Canada,a,,100,82,
3420,Commissioner of Canada Election,,342,Commissioner of Canada Election,a,,100,80,
3417,Communication Canada,,108,Communication Canada,a,,100,75,
3562,Communications Research Centre Canada,,232,NAV CANADA,a,,75,72,low_score
2253,Communications Security Establishment,,110,Communications Security Establishment,a,,100,58,
3563,Competition Bureau Canada,,232,NAV CANADA,a,,75,66,low_score
3564,Competition Tribunal,,289,Registry of the Competition Tribunal,t,2014,100,63,
3545,Consulting and Audit Canada Revolving Fund,,112,Consulting and Audit Canada Revolving Fund,d,2013,100,78,
2254,Copyright Board,,114,Copyright Board,a,,100,54,
3539,CORCAN,,115,CORCAN,a,,100,41,
3667,Corporation for the Mitigation of Mackenzie Gas Project Impacts,,116,Corporation for the Mitigation of Mackenzie Gas Project Impacts,d,2014,100,64,
2255,Correctional Service of Canada,,117,Correctional Service of Canada,a,,100,84,
2256,Courts Administration Service,,118,Courts Administration Service,a,,100,68,
3652,Defence Construction (1951) Limited,,119,Defence Construction (1951) Limited,a,,100,56,
3540,Defence Research and Development Canada,,120,Defence Research and Development Canada,a,,100,83,
2241,Department for Women and Gender Equality,,246,Department for Women and Gender Equality,a,,100,66,
2222,Department of Agriculture and Agri-Food,,1,Department of Agriculture and Agri-Food,a,,100,78,
2223,Department of Canadian Heritage,,122,Department of Canadian Heritage,a,,100,78,
2224,Department of Citizenship and Immigration,,123,Department of Citizenship and Immigration,a,,100,78,
2230,Department of Crown-Indigenous Relations and Northern Affairs,,129,Department of Crown-Indigenous Relations and Northern Affairs,a,,100,82,
2229,Department of Employment and Social Development,,128,Department of Employment and Social Development,a,,100,78,
2225,Department of Finance,,124,Department of Finance,a,,100,80,
2226,Department of Fisheries and Oceans,,125,Department of Fisheries and Oceans,a,,100,78,
2227,"Department of Foreign Affairs, Trade and Development",,126,"Department of Foreign Affairs, Trade and Development",a,,100,82,
2228,Department of Health,,127,Department of Health,a,,100,78,
2269,"Department of Housing, Infrastructure and Communities",,237,"Department of Housing, Infrastructure and Communities",a,,100,78,
2243,Department of Indigenous Services,,348,Department of Indigenous Services,a,,100,80,
2231,Department of Industry,,130,Department of Industry,a,,100,79,
2232,Department of Justice,,132,Department of Justice,a,,100,80,
2233,Department of National Defence,,133,Department of National Defence,a,,100,78,
2234,Department of Natural Resources,,134,Department of Natural Resources,a,,100,78,
2235,Department of Public Safety and Emergency Preparedness,,135,Department of Public Safety and Emergency Preparedness,a,,100,78,
2236,Department of Public Works and Government Services,,136,Department of Public Works and Government Services,a,,100,80,
2237,Department of the Environment,,137,Department of the Environment,a,,100,78,
2238,Department of Transport,,138,Department of Transport,a,,100,78,
2239,Department of Veterans Affairs,,139,Department of Veterans Affairs,a,,100,82,
2240,Department of Western Economic Diversification,,140,Department of Western Economic Diversification,a,,100,78,
3422,Director of Soldier Settlement,,541,Director of Soldier Settlement,a,,100,58,
2257,Economic Development Agency of Canada for the Regions of Quebec,,141,Economic Development Agency of Canada for the Regions of Quebec,a,,100,90,
3461,Edmonton Regional Airports Authority,,142,Edmonton Regional Airports Authority,a,,100,81,
3686,Employment Insurance Boards of Referees,,18,Employment Insurance Boards of Referees,t,2013,100,70,
3424,Energy Supplies Allocation Board,,543,Energy Supplies Allocation Board,a,,100,57,
3668,Enterprise Cape Breton Corporation,,143,Enterprise Cape Breton Corporation,d,2014,100,64,
3402,European Bank for Reconstruction and Development,,145,European Bank for Reconstruction and Development,a,,100,89,
3640,Export Development Canada,,146,Export Development Canada,a,,100,83,
3616,Farm Credit Canada,,147,Farm Credit Canada,a,,100,75,
2299,Federal Economic Development Agency for Northern Ontario,,561,Federal Economic Development Agency for Northern Ontario,a,,100,96,
2258,Federal Economic Development Agency for Southern Ontario,,150,Federal Economic Development Agency for Southern Ontario,a,,100,96,
3427,Federal Judges not part of any department,,555,Federal Judges not part of any department,a,,100,78,
3705,Federal Public Sector Labour Relations and Employment Board,,284,Public Service Labour Relations Board,t,2014,87,66,low_score
2259,Financial Consumer Agency of Canada,,151,Financial Consumer Agency of Canada,a,,100,81,
2260,Financial Transactions and Reports Analysis Centre of Canada,,152,Financial Transactions and Reports Analysis Centre of Canada,a,,100,78,
3524,First Nations Financial Management Board,,153,First Nations Financial Management Board,d,2013,100,64,
3669,First Nations Statistical Institute,,154,First Nations Statistical Institute,d,2013,100,63,
3525,First Nations Tax Commission,,155,First Nations Tax Commission,d,2013,100,76,
3462,Fredericton International Airport Authority Inc.,,156,Fredericton International Airport Authority Inc.,a,,100,90,
3638,Freshwater Fish Marketing Corporation,,157,Freshwater Fish Marketing Corporation,a,,100,67,
3463,Gander International Airport Authority Inc.,,158,Gander International Airport Authority Inc.,a,,100,91,
3605,Geological Survey of Canada,,15,Bank of Canada,a,,78,75,low_score
3606,Geomatics Canada,,232,NAV CANADA,a,,75,72,low_score
3670,Grain Appeal Tribunal,,162,Grain Appeal Tribunal,d,2013,100,83,
3656,Great Lakes Pilotage Authority,,163,Great Lakes Pilotage Authority,a,,100,81,
3464,Greater London International Airport Authority,,164,Greater London International Airport Authority,a,,100,91,
3465,Greater Moncton International Airport Authority Inc.,,165,Greater Moncton International Airport Authority Inc.,a,,100,91,
3466,Greater Toronto Airports Authority,,166,Greater Toronto Airports Authority,a,,100,87,
3467,Halifax International Airport Authority,,167,Halifax International Airport Authority,a,,100,89,
3468,Halifax Port Authority,,168,Halifax Port Authority,a,,100,87,
3469,Hamiton-Oshawa Port Authority (HOPA),,169,Hamiton-Oshawa Port Authority (HOPA),a,,100,80,
3671,Hazardous Materials Information Review Commission,,170,Hazardous Materials Information Review Commission,d,2012,100,65,
3526,Health Council of Canada,,171,Health Council of Canada,d,2013,100,82,
