gc_orgID,harmonized_name_info,harmonized_name_concordance,nom_harmonisé_info,nom_harmonisé_concordance
3571.0,Office of the Federal Ombudsperson for Victims Of Crime,Office of the Federal Ombudsperson for Victims Of Crime,,Bureau de l'ombudsman fédéral des victimes d'actes criminels
3572.0,Historic Sites and Monuments Board of Canada,Historic Sites and Monuments Board of Canada,,Commission des lieux et monuments historiques du Canada
3573.0,Independent Review Panel for Defence Acquisition,Independent Review Panel for Defence Acquisition,,Commission indépendante d'examen des acquisitions de la Défense
3574.0,Intergovernmental Affairs,Intergovernmental Affairs,,Affaires intergouvernementales
3575.0,Judicial Compensation and Benefits Commission,Judicial Compensation and Benefits Commission,,Commission d'examen de la rémunération des juges
3577.0,Leader of the Government in the House of Commons,Leader of the Government in the House of Commons,,Leader du gouvernement à la Chambre des communes
3578.0,Management Advisory Board for the RCMP,Management Advisory Board for the RCMP,,Conseil consultatif de gestion pour la GRC
3579.0,National Security and Intelligence Review Agency,National Security and Intelligence Review Agency,,Office de surveillance des activités en matière de sécurité nationale et de renseignement
3580.0,National Seniors Council,National Seniors Council,,Conseil national des aînés
3581.0,Occupational Health and Safety Tribunal Canada,Occupational Health and Safety Tribunal Canada,,Tribunal de santé et sécurité au travail Canada
3582.0,Office of the Chief Military Judge,Office of the Chief Military Judge,,Le cabinet du juge militaire en chef
3583.0,Office of the Ombudsman for the Department of National Defence and the Canadian Armed Forces,Office of the Ombudsman for the Department of National Defence and the Canadian Armed Forces,,Bureau de l'ombudsman de la Défense nationale et des Forces armées canadiennes
3584.0,Parliament of Canada,Parliament of Canada,,Parlement du Canada
3585.0,Office of the Procurement Ombudsman,Office of the Procurement Ombudsman,,Bureau de l'ombudsman de l'approvisionnement
3586.0,Prime Minister of Canada,Prime Minister of Canada,,Premier ministre du Canada
3587.0,Public Servants Disclosure Protection Tribunal Canada,Public Servants Disclosure Protection Tribunal Canada,,Tribunal de la protection des fonctionnaires divulgateurs Canada
3588.0,Royal Canadian Air Force,Royal Canadian Air Force,,Aviation royale canadienne
3589.0,Royal Canadian Navy,Royal Canadian Navy,,Marine royale canadienne
3590.0,Royal Military College of Canada,Royal Military College of Canada,,Collège militaire royal du Canada
3591.0,Service Canada,Service Canada,,Service Canada
3593.0,Tax Court of Canada,Tax Court of Canada,,Cour canadienne de l'impôt
3594.0,Office of the Taxpayers' Ombudsperson,Office of the Taxpayers' Ombudsperson,,Bureau de l'ombudsman des contribuables
3595.0,Office of the Veterans' Ombudsman,Office of the Veterans' Ombudsman,,Bureau de l'ombud des vétérans
3596.0,Virtual Museum of Canada,Virtual Museum of Canada,,Musée virtuel du Canada
3599.0,Aboriginal Business Canada,Aboriginal Business Canada,,Entreprise autochtone Canada
3600.0,"Appeal Board, Hazardous Materials Information Review Act","Appeal Board, Hazardous Materials Information Review Act",,"Commission d'appel, Loi sur le contrôle des renseignements relatifs aux matières dangereuses"
3601.0,Canada Centre for Inland Waters,Canada Centre for Inland Waters,,Centre canadien des eaux intérieures
3602.0,Canadian Museum of Contemporary Photography,Canadian Museum of Contemporary Photography,,Musée canadien de la photographie contemporaine
3603.0,Environmental Protection Tribunal of Canada,Environmental Protection Tribunal of Canada,,Tribunal de la protection de I'environnement du Canada
3604.0,Geographical Names Board of Canada,Geographical Names Board of Canada,,La Commission de toponymie du Canada
3605.0,Geological Survey of Canada,Geological Survey of Canada,,Commission géologique du Canada
3606.0,Geomatics Canada,Geomatics Canada,,Géomatique Canada
3607.0,Indian Residential Schools Resolution Canada,Indian Residential Schools Resolution Canada,,Résolution des questions des pensionnats indiens Canada
3608.0,National Advisory Council on Aging,National Advisory Council on Aging,,Conseil consultatif national sur le troisième âge
3609.0,National Advisory Council on Poverty,National Advisory Council on Poverty,,Conseil national du Bien-être
3611.0,Office of the Chief Science Advisor of Canada,Office of the Chief Science Advisor of Canada,,Bureau du conseiller scientifique en chef du Canada
3612.0,Policy Horizons Canada,Policy Horizons Canada,,Horizons de politiques Canada
3613.0,Ship-source Oil Pollution Fund,Ship-source Oil Pollution Fund,,Caisse d'indemnisation des dommages dus à la pollution par les hydrocarbures causée par les navires
3614.0,Statute Revision Commission Canada,Statute Revision Commission Canada,,Commission de révision des lois Canada
3615.0,Canadian Dairy Commission,Canadian Dairy Commission,,Commission canadienne du lait
3616.0,Farm Credit Canada,Farm Credit Canada,,Financement agricole Canada
3618.0,Canada Council for the Arts,Canada Council for the Arts,,Conseil des Arts du Canada
3619.0,Canadian Broadcasting Corporation,Canadian Broadcasting Corporation,,Société Radio-Canada
3620.0,Canadian Museum for Human Rights,Canadian Museum for Human Rights,,Musée canadien des droits de la personne
3621.0,Canadian Museum of History,Canadian Museum of History,,Musée canadien de l'histoire
3622.0,Canadian Museum of Immigration at Pier 21,Canadian Museum of Immigration at Pier 21,,Musée canadien de l'immigration du Quai 21
3623.0,Canadian Museum of Nature,Canadian Museum of Nature,,Musée canadien de la nature
3624.0,Canadian Race Relations Foundation,Canadian Race Relations Foundation,,Fondation canadienne des relations raciales
3625.0,National Arts Centre Corporation,National Arts Centre Corporation,,Société du Centre national des Arts
3626.0,National Gallery of Canada,National Gallery of Canada,,Musée des beaux-arts du Canada
3627.0,National Museum of Science and Technology,National Museum of Science and Technology,,Musée national des sciences et de la technologie
3629.0,Telefilm Canada,Telefilm Canada,,Téléfilm Canada
3630.0,Toronto Organizing Committee for the 2015 Pan American and Parapan American Games,Toronto Organizing Committee for the 2015 Pan American and Parapan American Games,,Comité d'organisation des Jeux panaméricains et parapanaméricains de Toronto 2015
3631.0,Canada Mortgage and Housing Corporation,Canada Mortgage and Housing Corporation,,Société canadienne d'hypothèques et de logement
3632.0,Social Security Tribunal,Social Security Tribunal,,Tribunal de la sécurité sociale
3633.0,Bank of Canada,Bank of Canada,,Banque du Canada
3634.0,Canada Deposit Insurance Corporation,Canada Deposit Insurance Corporation,,Société d'assurance-dépôts du Canada
3635.0,Canada Development Investment Corporation,Canada Development Investment Corporation,,La Corporation de développement des investissements du Canada
3636.0,Canada Pension Plan Investment Board,Canada Pension Plan Investment Board,,Office d'investissement du régime de pensions du Canada
3637.0,Royal Canadian Mint,Royal Canadian Mint,,Monnaie royale canadienne
3638.0,Freshwater Fish Marketing Corporation,Freshwater Fish Marketing Corporation,,Office de commercialisation du poisson d'eau douce
3639.0,Canadian Commercial Corporation,Canadian Commercial Corporation,,Corporation commerciale canadienne
3640.0,Export Development Canada,Export Development Canada,,Exportation et développement Canada
3641.0,International Development Research Centre,International Development Research Centre,,Centre de recherches pour le développement international
3642.0,Canada Infrastructure Bank,Canada Infrastructure Bank,,Banque de l'infrastructure du Canada
3643.0,The Jacques-Cartier and Champlain Bridges Inc.,The Jacques-Cartier and Champlain Bridges Inc.,,Les Ponts Jacques-Cartier et Champlain Inc.
3644.0,Windsor-Detroit Bridge Authority,Windsor-Detroit Bridge Authority,,Autorité du pont Windsor-Détroit
3645.0,PPP Canada Inc.,PPP Canada Inc.,,PPP Canada Inc.
3646.0,Business Development Bank of Canada,Business Development Bank of Canada,,Banque de développement du Canada
3647.0,Canadian Tourism Commission,Canadian Tourism Commission,,Commission canadienne du tourisme
3648.0,Standards Council of Canada,Standards Council of Canada,,Conseil canadien des normes
3649.0,Atomic Energy of Canada Limited,Atomic Energy of Canada Limited,,Énergie atomique du Canada limitée
3650.0,Canada Lands Company Limited,Canada Lands Company Limited,,Société immobilière du Canada limitée
3651.0,Canada Post Corporation,Canada Post Corporation,,Société canadienne des postes
3652.0,Defence Construction (1951) Limited,Defence Construction (1951) Limited,,Construction de Défense (1951) Limitée
3653.0,National Capital Commission,National Capital Commission,,Commission de la capitale nationale
3654.0,Atlantic Pilotage Authority,Atlantic Pilotage Authority,,Administration de pilotage de l'Atlantique
3655.0,Canadian Air Transport Security Authority,Canadian Air Transport Security Authority,,Administration canadienne de la sûreté du transport aérien
3656.0,Great Lakes Pilotage Authority,Great Lakes Pilotage Authority,,Administration de pilotage des Grands Lacs
3657.0,Laurentian Pilotage Authority,Laurentian Pilotage Authority,,Administration de pilotage des Laurentides
3658.0,Marine Atlantic Inc.,Marine Atlantic Inc.,,Marine Atlantique S.C.C.
3659.0,Pacific Pilotage Authority,Pacific Pilotage Authority,,Administration de pilotage du Pacifique
3660.0,Ridley Terminals Inc.,Ridley Terminals Inc.,,Ridley Terminals Inc.
3661.0,The Federal Bridge Corporation Limited,The Federal Bridge Corporation Limited,,La Société des ponts fédéraux Limitée
3662.0,VIA Rail Canada Inc.,VIA Rail Canada Inc.,,VIA Rail Canada inc.
3663.0,Public Sector Pension Investment Board,Public Sector Pension Investment Board,,Office d'investissement des régimes de pensions du secteur public
3664.0,Assisted Human Reproduction Agency of Canada,Assisted Human Reproduction Agency of Canada,,Agence canadienne de contrôle de la procréation assistée
3665.0,Blue Water Bridge Authority,Blue Water Bridge Authority,,Administration du pont Blue Water
3666.0,Canada Employment Insurance Financing Board,Canada Employment Insurance Financing Board,,Office de financement de l'assurance-emploi du Canada
3667.0,Corporation for the Mitigation of Mackenzie Gas Project Impacts,Corporation for the Mitigation of Mackenzie Gas Project Impacts,,Société d'atténuation des répercussions du projet gazier Mackenzie
3668.0,Enterprise Cape Breton Corporation,Enterprise Cape Breton Corporation,,Société d'expansion du Cap Breton
3669.0,First Nations Statistical Institute,First Nations Statistical Institute,,Institut de la statistique des Premières nations
3670.0,Grain Appeal Tribunal,Grain Appeal Tribunal,,Tribunal d'appel pour les grains
3671.0,Hazardous Materials Information Review Commission,Hazardous Materials Information Review Commission,,Conseil de contrôle des renseignements relatifs aux matières dangereuses
3672.0,Indian Residential Schools Truth and Reconciliation Commission,Indian Residential Schools Truth and Reconciliation Commission,,Commission de vérité et de réconciliation relative aux pensionnats indiens
3673.0,Inuvialuit Arbitration Board,Inuvialuit Arbitration Board,,Commission d'arbitrage des Inuvialuit
3674.0,Merchant Seamen Compensation Board,Merchant Seamen Compensation Board,,Commission d'indemnisation des marins marchands
3675.0,National Round Table on the Environment and the Economy,National Round Table on the Environment and the Economy,,Table ronde nationale sur l'environnement et l'économie
3676.0,Public Appointments Commission Secretariat,Public Appointments Commission Secretariat,,Secrétariat de la Commission des nominations publiques
3679.0,Canada Agricultural Review Tribunal,Canada Agricultural Review Tribunal,,Commission de révision agricole du Canada
3680.0,Canada Industrial Relations Board,Canada Industrial Relations Board,,Conseil canadien des relations industrielles
3681.0,Canadian Artists and Producers Professional Relations Tribunal,Canadian Artists and Producers Professional Relations Tribunal,,Tribunal canadien des relations professionnelles artistes-producteurs
3682.0,Canadian Cultural Property Export Review Board,Canadian Cultural Property Export Review Board,,Commission canadienne d'examen des exportations de biens culturels
3683.0,Canadian Human Rights Tribunal,Canadian Human Rights Tribunal,,Tribunal canadien des droits de la personne
3684.0,Canadian International Development Agency,Canadian International Development Agency,,Agence canadienne de développement international
3685.0,Canadian International Trade Tribunal,Canadian International Trade Tribunal,,Tribunal canadien du commerce extérieur
3686.0,Employment Insurance Boards of Referees,Employment Insurance Boards of Referees,,Conseils arbitraux de l'assurance-emploi
3687.0,Office of the Commissioner of Review Tribunals,Office of the Commissioner of Review Tribunals,,Bureau du Commissaire des tribunaux de révision
3688.0,Office of the Umpire,Office of the Umpire,,Bureau du juge-arbitre
3689.0,Old Port of Montreal Corporation Inc.,Old Port of Montreal Corporation Inc.,,Société du Vieux-Port de Montréal Inc.
3690.0,Parc Downsview Park Inc.,Parc Downsview Park Inc.,,Parc Downsview Park Inc
3691.0,Pension Appeals Board,Pension Appeals Board,,Commission d'appel des pensions
3692.0,Public Service Labour Relations Board,Public Service Labour Relations Board,,Commission des relations de travail dans la fonction publique
3693.0,Public Service Staffing Tribunal,Public Service Staffing Tribunal,,Tribunal de la dotation de la fonction publique
3694.0,Registry of the Competition Tribunal,Registry of the Competition Tribunal,,Greffe du Tribunal de la concurrence
3695.0,Registry of the Public Servants Disclosure Protection Tribunal,Registry of the Public Servants Disclosure Protection Tribunal,,Greffe du Tribunal de la protection des fonctionnaires divulgateurs d'actes répréhensibles
3696.0,Registry of the Specific Claims Tribunal,Registry of the Specific Claims Tribunal,,Greffe du Tribunal des revendications particulières
3697.0,Transportation Appeal Tribunal of Canada,Transportation Appeal Tribunal of Canada,,Tribunal d'appel des transports du Canada
3698.0,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games,,Comité d'organisation des Jeux olympiques et paralympiques d'hiver de 2010 à Vancouver
3700.0,The Halifax 2011 Canada Games Host Society,The Halifax 2011 Canada Games Host Society,,Société d'accueil des Jeux de 2011 de Halifax
3701.0,Prince George 2015 Canada Winter Games Host Society,Prince George 2015 Canada Winter Games Host Society,,Société hôtesse des Jeux d'hiver du Canada Prince George 2015
3702.0,2010 Games Operating Trust Society,2010 Games Operating Trust Society,,Société du legs des Jeux de 2010
3703.0,Canada Water Agency,Canada Water Agency,,Agence de l'eau du Canada
3704.0,Treasury Board,Treasury Board,,Conseil du Trésor
3705.0,Federal Public Sector Labour Relations and Employment Board,Federal Public Sector Labour Relations and Employment Board,,Commission des relations de travail et de l'emploi dans le secteur public fédéral
3706.0,Miscarriage of Justice Review Commission,Miscarriage of Justice Review Commission,,Commission d'examen des erreurs du système judiciaire
3707.0,VIA HFR - VIA TGF Inc.,VIA HFR - VIA TGF Inc.,,VIA HFR - VIA TGF Inc.
nan,,,,
