gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut
3560,Canadian Trade Commissioner Service,,Canadian Trade Commissioner Service,,,,,,,,,a
3561,Canadian War Museum,,Canadian War Museum,,,,,,,,,a
3562,Communications Research Centre Canada,,Communications Research Centre Canada,,,,,,,,,a
3563,Competition Bureau Canada,,Competition Bureau Canada,,,,,,,,,a
3564,Competition Tribunal,,Competition Tribunal,,,,"Innovation, Science and Economic Development Canada",,,,,a
3565,Court Martial Appeal Court of Canada,,Court Martial Appeal Court of Canada,,,,,,,,,a
3566,Democratic Institutions,,Democratic Institutions,,,,,,,,,a
3568,Environmental Protection Review Canada,,Environmental Protection Review Canada,,,,,,,,,a
3569,Federal Court of Appeal,,Federal Court of Appeal,,,,,,,,,a
3570,Federal Court of Canada,,Federal Court of Canada,,,,,,,,,a
3571,Office of the Federal Ombudsperson for Victims Of Crime,,Office of the Federal Ombudsperson for Victims Of Crime,,,,Department of Justice Canada,,,,,a
3572,Historic Sites and Monuments Board of Canada,,Historic Sites and Monuments Board of Canada,,,,,,,,,a
3573,Independent Review Panel for Defence Acquisition,,Independent Review Panel for Defence Acquisition,,,,,,,,,a
3574,Intergovernmental Affairs,,Intergovernmental Affairs,,,,,,,,,a
3575,Judicial Compensation and Benefits Commission,,Judicial Compensation and Benefits Commission,,,,,,,,,a
3577,Leader of the Government in the House of Commons,,Leader of the Government in the House of Commons,,,,,,,,,a
3578,Management Advisory Board for the RCMP,,Management Advisory Board for the RCMP,,,,,,,,,a
3579,National Security and Intelligence Review Agency,,National Security and Intelligence Review Agency,,,,,,,,,a
3580,National Seniors Council,,National Seniors Council,,,,,,,,,a
3581,Occupational Health and Safety Tribunal Canada,,Occupational Health and Safety Tribunal Canada,,,,,,,,,a
3582,Office of the Chief Military Judge,,Office of the Chief Military Judge,,,,,,,,,a
3583,Office of the Ombudsman for the Department of National Defence and the Canadian Armed Forces,,Office of the Ombudsman for the Department of National Defence and the Canadian Armed Forces,,,,,,,,,a
3584,Parliament of Canada,,Parliament of Canada,,,,,,,,,a
3585,Office of the Procurement Ombudsman,,Office of the Procurement Ombudsman,,,,Public Services and Procurement Canada,,,,,a
3586,Prime Minister of Canada,,Prime Minister of Canada,,,,Privy Council Office,,,,,a
3587,Public Servants Disclosure Protection Tribunal Canada,,Public Servants Disclosure Protection Tribunal Canada,,,,Privy Council Office,,,,,a
3588,Royal Canadian Air Force,,Royal Canadian Air Force,,,,,,,,,a
3589,Royal Canadian Navy,,Royal Canadian Navy,,,,,,,,,a
3590,Royal Military College of Canada,,Royal Military College of Canada,,,,,,,,,a
3591,Service Canada,,Service Canada,,,,,,,,,a
3593,Tax Court of Canada,,Tax Court of Canada,,,,,,,,,a
3594,Office of the Taxpayers' Ombudsperson,,Office of the Taxpayers' Ombudsperson,,,,Canada Revenue Agency,,,,,a
3595,Office of the Veterans' Ombudsman,,Office of the Veterans' Ombudsman,,,,Veterans Affairs Canada,,,,,a
3596,Virtual Museum of Canada,,Virtual Museum of Canada,,,,,,,,,a
3599,Aboriginal Business Canada,,Aboriginal Business Canada,,,,,,,,,a
3600,"Appeal Board, Hazardous Materials Information Review Act",,"Appeal Board, Hazardous Materials Information Review Act",,,,,,,,,a
3601,Canada Centre for Inland Waters,,Canada Centre for Inland Waters,,,,,,,,,a
3602,Canadian Museum of Contemporary Photography,,Canadian Museum of Contemporary Photography,,,,,,,,,a
3603,Environmental Protection Tribunal of Canada,,Environmental Protection Tribunal of Canada,,,,,,,,,a
3604,Geographical Names Board of Canada,,Geographical Names Board of Canada,,,,,,,,,a
3605,Geological Survey of Canada,,Geological Survey of Canada,,,,,,,,,a
3606,Geomatics Canada,,Geomatics Canada,,,,,,,,,a
3607,Indian Residential Schools Resolution Canada,,Indian Residential Schools Resolution Canada,,,,,,,,,a
3608,National Advisory Council on Aging,,National Advisory Council on Aging,,,,,,,,,a
3609,National Advisory Council on Poverty,,National Advisory Council on Poverty,,,,,,,,,a
3611,Office of the Chief Science Advisor of Canada,,Office of the Chief Science Advisor of Canada,,,,,,,,,a
3612,Policy Horizons Canada,,Policy Horizons Canada,,,,,,,,,a
3613,Ship-source Oil Pollution Fund,,Ship-source Oil Pollution Fund,,,,,,,,,a
3614,Statute Revision Commission Canada,,Statute Revision Commission Canada,,,,,,,,,a
3615,Canadian Dairy Commission,,Canadian Dairy Commission,,,,Agriculture and Agri-Food Canada,,,,4,a
3616,Farm Credit Canada,,Farm Credit Canada,,,,Agriculture and Agri-Food Canada,,,,3,a
3618,Canada Council for the Arts,,Canada Council for the Arts,,,,Canadian Heritage,,,,,a
3619,Canadian Broadcasting Corporation,,Canadian Broadcasting Corporation,,,,Canadian Heritage,,,,,a
3620,Canadian Museum for Human Rights,,Canadian Museum for Human Rights,,,,Canadian Heritage,,,,3,a
3621,Canadian Museum of History,,Canadian Museum of History,,,,Canadian Heritage,,,,3,a
3622,Canadian Museum of Immigration at Pier 21,,Canadian Museum of Immigration at Pier 21,,,,Canadian Heritage,,,,3,a
3623,Canadian Museum of Nature,,Canadian Museum of Nature,,,,Canadian Heritage,,,,3,a
3624,Canadian Race Relations Foundation,,Canadian Race Relations Foundation,,,,Canadian Heritage,,,,,a
3625,National Arts Centre Corporation,,National Arts Centre Corporation,,,,Canadian Heritage,,,,,a
3626,National Gallery of Canada,,National Gallery of Canada,,,,Canadian Heritage,,,,3,a
3627,National Museum of Science and Technology,,National Museum of Science and Technology,,,,Canadian Heritage,,,,3,a
3629,Telefilm Canada,,Telefilm Canada,,,,Canadian Heritage,,,,,a
3630,Toronto Organizing Committee for the 2015 Pan American and Parapan American Games,,Toronto Organizing Committee for the 2015 Pan American and Parapan American Games,,,,,,,,,a
3631,Canada Mortgage and Housing Corporation,,Canada Mortgage and Housing Corporation,,,,"Housing, Infrastructure and Communities Canada",,,,3,a
3632,Social Security Tribunal,,Social Security Tribunal,,,,Employment and Social Development Canada,,,,,t
3633,Bank of Canada,,Bank of Canada,,,,Department of Finance Canada,,,,,a
3634,Canada Deposit Insurance Corporation,,Canada Deposit Insurance Corporation,,,,Department of Finance Canada,,,,3,a
3635,Canada Development Investment Corporation,,Canada Development Investment Corporation,,,,Department of Finance Canada,,,,3,a
3636,Canada Pension Plan Investment Board,,Canada Pension Plan Investment Board,,,,Department of Finance Canada,,,,,a
3637,Royal Canadian Mint,,Royal Canadian Mint,,,,Department of Finance Canada,,,,3,a
3638,Freshwater Fish Marketing Corporation,,Freshwater Fish Marketing Corporation,,,,Fisheries and Oceans Canada,,,,3,a
3639,Canadian Commercial Corporation,,Canadian Commercial Corporation,,,,Global Affairs Canada,,,,3,a
3640,Export Development Canada,,Export Development Canada,,,,Global Affairs Canada,,,,3,a
3641,International Development Research Centre,,International Development Research Centre,,,,Global Affairs Canada,,,,,a
3642,Canada Infrastructure Bank,,Canada Infrastructure Bank,,,,"Housing, Infrastructure and Communities Canada",,,,3,a
3643,The Jacques-Cartier and Champlain Bridges Inc.,,The Jacques-Cartier and Champlain Bridges Inc.,,,,"Housing, Infrastructure and Communities Canada",,,,3,a
3644,Windsor-Detroit Bridge Authority,,Windsor-Detroit Bridge Authority,,,,"Housing, Infrastructure and Communities Canada",,,,3,a
3645,PPP Canada Inc.,,PPP Canada Inc.,,,,,,,,,d
3646,Business Development Bank of Canada,,Business Development Bank of Canada,,,,"Innovation, Science and Economic Development Canada",,,,3,a
3647,Canadian Tourism Commission,,Canadian Tourism Commission,,,,"Innovation, Science and Economic Development Canada",,,,3,a
3648,Standards Council of Canada,,Standards Council of Canada,,,,"Innovation, Science and Economic Development Canada",,,,3,a
3649,Atomic Energy of Canada Limited,,Atomic Energy of Canada Limited,,,,Natural Resources Canada,,,,3,a
3650,Canada Lands Company Limited,,Canada Lands Company Limited,,,,Public Services and Procurement Canada,,,,3,a
3651,Canada Post Corporation,,Canada Post Corporation,,,,Public Services and Procurement Canada,,,,3,a
3652,Defence Construction (1951) Limited,,Defence Construction (1951) Limited,,,,Public Services and Procurement Canada,,,,3,a
3653,National Capital Commission,,National Capital Commission,,,,Public Services and Procurement Canada,,,,3,a
3654,Atlantic Pilotage Authority,,Atlantic Pilotage Authority,,,,Transport Canada,,,,3,a
3655,Canadian Air Transport Security Authority,,Canadian Air Transport Security Authority,,,,Transport Canada,,,,3,a
3656,Great Lakes Pilotage Authority,,Great Lakes Pilotage Authority,,,,Transport Canada,,,,3,a
3657,Laurentian Pilotage Authority,,Laurentian Pilotage Authority,,,,Transport Canada,,,,3,a
3658,Marine Atlantic Inc.,,Marine Atlantic Inc.,,,,Transport Canada,,,,3,a
3659,Pacific Pilotage Authority,,Pacific Pilotage Authority,,,,Transport Canada,,,,3,a
3660,Ridley Terminals Inc.,,Ridley Terminals Inc.,,,,Transport Canada,,,,,t
3661,The Federal Bridge Corporation Limited,,The Federal Bridge Corporation Limited,,,,Transport Canada,,,,3,a
3662,VIA Rail Canada Inc.,,VIA Rail Canada Inc.,,,,Transport Canada,,,,3,a
3663,Public Sector Pension Investment Board,,Public Sector Pension Investment Board,,,,Treasury Board of Canada Secretariat,,,,,a
3664,Assisted Human Reproduction Agency of Canada,,Assisted Human Reproduction Agency of Canada,,,,,,,,,d
3665,Blue Water Bridge Authority,,Blue Water Bridge Authority,,,,,,,,,d
3666,Canada Employment Insurance Financing Board,,Canada Employment Insurance Financing Board,,,,,,,,,d
3667,Corporation for the Mitigation of Mackenzie Gas Project Impacts,,Corporation for the Mitigation of Mackenzie Gas Project Impacts,,,,,,,,,d
3668,Enterprise Cape Breton Corporation,,Enterprise Cape Breton Corporation,,,,,,,,,d
3669,First Nations Statistical Institute,,First Nations Statistical Institute,,,,,,,,,d
3670,Grain Appeal Tribunal,,Grain Appeal Tribunal,,,,,,,,,d
3671,Hazardous Materials Information Review Commission,,Hazardous Materials Information Review Commission,,,,,,,,,d
3672,Indian Residential Schools Truth and Reconciliation Commission,,Indian Residential Schools Truth and Reconciliation Commission,,,,,,,,,d
3673,Inuvialuit Arbitration Board,,Inuvialuit Arbitration Board,,,,,,,,,d
3674,Merchant Seamen Compensation Board,,Merchant Seamen Compensation Board,,,,,,,,,d
3675,National Round Table on the Environment and the Economy,,National Round Table on the Environment and the Economy,,,,,,,,,d
3676,Public Appointments Commission Secretariat,,Public Appointments Commission Secretariat,,,,,,,,,d
3679,Canada Agricultural Review Tribunal,,Canada Agricultural Review Tribunal,,,,Agriculture and Agri-Food Canada,,,,,t
3680,Canada Industrial Relations Board,,Canada Industrial Relations Board,,,,Employment and Social Development Canada,,,,,t
3681,Canadian Artists and Producers Professional Relations Tribunal,,Canadian Artists and Producers Professional Relations Tribunal,,,,,,,,,t
3682,Canadian Cultural Property Export Review Board,,Canadian Cultural Property Export Review Board,,,,Canadian Heritage,,,,,t
3683,Canadian Human Rights Tribunal,,Canadian Human Rights Tribunal,,,,Department of Justice Canada,,,,,t
3684,Canadian International Development Agency,,Canadian International Development Agency,,,,,,,,,t
3685,Canadian International Trade Tribunal,,Canadian International Trade Tribunal,,,,,,,,,t
3686,Employment Insurance Boards of Referees,,Employment Insurance Boards of Referees,,,,,,,,,t
3687,Office of the Commissioner of Review Tribunals,,Office of the Commissioner of Review Tribunals,,,,,,,,,t
3688,Office of the Umpire,,Office of the Umpire,,,,,,,,,t
3689,Old Port of Montreal Corporation Inc.,,Old Port of Montreal Corporation Inc.,,,,,,,,,t
3690,Parc Downsview Park Inc.,,Parc Downsview Park Inc.,,,,,,,,,a
3691,Pension Appeals Board,,Pension Appeals Board,,,,,,,,,t
3692,Public Service Labour Relations Board,,Public Service Labour Relations Board,,,,,,,,,t
3693,Public Service Staffing Tribunal,,Public Service Staffing Tribunal,,,,,,,,,t
3694,Registry of the Competition Tribunal,,Registry of the Competition Tribunal,,,,,,,,,t
3695,Registry of the Public Servants Disclosure Protection Tribunal,,Registry of the Public Servants Disclosure Protection Tribunal,,,,,,,,,t
3696,Registry of the Specific Claims Tribunal,,Registry of the Specific Claims Tribunal,,,,,,,,,t
3697,Transportation Appeal Tribunal of Canada,,Transportation Appeal Tribunal of Canada,,,,Transport Canada,,,,,t
3698,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games,,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games,,,,,,,,,d
3700,The Halifax 2011 Canada Games Host Society,,The Halifax 2011 Canada Games Host Society,,,,,,,,,d
3701,Prince George 2015 Canada Winter Games Host Society,,Prince George 2015 Canada Winter Games Host Society,,,,,,,,,a
3702,2010 Games Operating Trust Society,,2010 Games Operating Trust Society,,,,,,,,,a
3703,Canada Water Agency,,Canada Water Agency,,Canada Water Agency,,,,CWA,AEC,1.1,a
3704,Treasury Board,,Treasury Board,,,,,,TB,CT,1,a
3705,Federal Public Sector Labour Relations and Employment Board,,Federal Public Sector Labour Relations and Employment Board,,,,,,,,,a
3706,Miscarriage of Justice Review Commission,,Miscarriage of Justice Review Commission,,,,,,,,1.1,a
3707,VIA HFR - VIA TGF Inc.,,VIA HFR - VIA TGF Inc.,,,,,,,,,a
nan,,,Office of the Information Commissioner,,,,,,,,4,a
