gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut
2267,Parole Board of Canada,,Parole Board of Canada,,Parole Board of Canada,,Public Safety Canada,,PBC,CLCC,1.1,a
2268,Northern Pipeline Agency Canada,,Northern Pipeline Agency,,Northern Pipeline Agency Canada,,Natural Resources Canada,,NPA,APN,1.1,a
2269,"Housing, Infrastructure and Communities Canada",,"Department of Housing, Infrastructure and Communities",,"Housing, Infrastructure and Communities Canada",,"Housing, Infrastructure and Communities Canada",,HICC,LICC,1,a
2270,Office of the Auditor General of Canada,,Office of the Auditor General,,Office of the Auditor General of Canada,,Department of Finance Canada,,OAG,BVG,1.1,a
2271,Elections Canada,,Office of the Chief Electoral Officer,,,,,,elections,elections,1.1,a
2272,Office of the Commissioner for Federal Judicial Affairs Canada,,Office of the Commissioner for Federal Judicial Affairs,,Office of the Commissioner for Federal Judicial Affairs Canada,,Department of Justice Canada,,FJA,CMF,1.1,a
2273,Office of the Commissioner of Lobbying of Canada,,Office of the Commissioner of Lobbying,,Office of the Commissioner of Lobbying of Canada,,Treasury Board of Canada Secretariat,,OCL,CAL,1.1,a
2274,Office of the Commissioner of Official Languages,,Office of the Commissioner of Official Languages,,,,Privy Council Office,,OCOL,CLO,1.1,a
2275,Office of the Intelligence Commissioner,,Office of the Intelligence Commissioner,,,,Privy Council Office,,,,1.1,a
2276,The Correctional Investigator Canada,,Office of the Correctional Investigator of Canada,,The Correctional Investigator Canada,,Public Safety Canada,,OCI,BEC,1.1,a
2277,Public Prosecution Service of Canada,,Office of the Director of Public Prosecutions,,Public Prosecution Service of Canada,,Department of Justice Canada,,PPSC,SPPC,1.1,a
2278,Office of the Secretary to the Governor General,,Office of the Governor General's Secretary,,Office of the Secretary to the Governor General,,Privy Council Office,,OSGG,BSGG,1.1,a
2279,Office of the Public Sector Integrity Commissioner of Canada,,Office of the Public Sector Integrity Commissioner,,Office of the Public Sector Integrity Commissioner of Canada,,Treasury Board of Canada Secretariat,,PSIC,ISPC,1.1,a
2280,Office of the Superintendent of Financial Institutions Canada,,Office of the Superintendent of Financial Institutions,,Office of the Superintendent of Financial Institutions Canada,,Department of Finance Canada,,OSFI,BSIF,1.1,a
2281,Office of the Information Commissioner of Canada,,Office of the Information Commissioner of Canada,,,,Department of Justice Canada,,,,,a
2282,Office of the Privacy Commissioner of Canada,,Office of the Privacy Commissioner of Canada,,,,Department of Justice Canada,,,,4,a
2283,Patented Medicine Prices Review Board Canada,,Patented Medicine Prices Review Board,,Patented Medicine Prices Review Board Canada,,Health Canada,,PMPRB,CEPMB,1.1,a
2284,Privy Council Office,,Privy Council Office,,Privy Council Office,,Privy Council Office,,PCO,BCP,1.1,a
2285,Public Health Agency of Canada,,Public Health Agency of Canada,,Public Health Agency of Canada,,Health Canada,,PHAC,ASPC,1.1,a
2286,Public Service Commission of Canada,,Public Service Commission,,Public Service Commission of Canada,,Privy Council Office,,PSC,CFP,1.1,a
2287,Registrar of the Supreme Court of Canada,,Registrar of the Supreme Court of Canada,,,,Department of Justice Canada,,,,1.1,a
2288,Royal Canadian Mounted Police,,Royal Canadian Mounted Police,,,,Public Safety Canada,,RCMP,GRC,1.1,a
2289,RCMP External Review Committee,,Royal Canadian Mounted Police External Review Committee,,RCMP External Review Committee,,Public Safety Canada,,ERC,CEE,1.1,a
2290,Civilian Review and Complaints Commission for the RCMP,,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,,Civilian Review and Complaints Commission for the RCMP,,Public Safety Canada,,CRCC,CCETP,1.1,a
2291,National Security and Intelligence Review Agency Secretariat,,National Security and Intelligence Review Agency Secretariat,,,,Privy Council Office,,,,1.1,a
2292,Shared Services Canada,,Shared Services Canada,,Shared Services Canada,,Public Services and Procurement Canada,,SSC,SPC,1.1,a
2293,Statistics Canada,,Statistics Canada,,Statistics Canada,,"Innovation, Science and Economic Development Canada",,StatCan,StatCan,1.1,a
2294,Veterans Review and Appeal Board,,Veterans Review and Appeal Board,,,,Veterans Affairs Canada,,VRAB,TACRA,1.1,a
2295,Secretariat of the National Security and Intelligence Committee of Parliamentarians,,Secretariat of the National Security and Intelligence Committee of Parliamentarians,,Secretariat of the National Security and Intelligence Committee of Parliamentarians,,Privy Council Office,,SNSICP,SCPSNR,1.1,a
2296,Leaders' Debates Commission,,Leaders' Debates Commission,,,,Privy Council Office,,,,1.1,a
2297,Administrative Tribunals Support Service of Canada,,Administrative Tribunals Support Service of Canada,,Administrative Tribunals Support Service of Canada,,Department of Justice Canada,,ATSSC,SCDATA,1.1,a
2298,Pacific Economic Development Canada,,Pacific Economic Development Agency of Canada,,Pacific Economic Development Canada,,,,PacifiCan,PacifiCan,1.1,a
2299,Federal Economic Development Agency for Northern Ontario,,Federal Economic Development Agency for Northern Ontario,,Federal Economic Development Agency for Northern Ontario,,,,FedNor,FedNor,1.1,a
2300,Canada Border Services Agency,,Canada Border Services Agency,,Canada Border Services Agency,,Public Safety Canada,,CBSA,ASFC,2,a
2301,Canada Emission Reduction Incentives Agency,,Canada Emission Reduction Incentives Agency,,,,Environment and Climate Change Canada,,,,2,a
2302,Canada Employment Insurance Commission,,Canada Employment Insurance Commission,,Canada Employment Insurance Commission,,Employment and Social Development Canada,,CEIC,CAEC,2,a
2303,Canada Revenue Agency,,Canada Revenue Agency,,,,Canada Revenue Agency,,CRA,ARC,2,a
2304,Canada School of Public Service,,Canada School of Public Service,,Canada School of Public Service,,Treasury Board of Canada Secretariat,,CSPS,EFPC,2,a
2305,Canadian Centre for Occupational Health and Safety,,Canadian Centre for Occupational Health and Safety,,,,Employment and Social Development Canada,,CCOHS,CCHST,2,a
2306,Canadian Food Inspection Agency,,Canadian Food Inspection Agency,,Canadian Food Inspection Agency,,Health Canada,,CFIA,ACIA,2,a
2307,Canadian Institutes of Health Research,,Canadian Institutes of Health Research,,,,Health Canada,,CIHR,IRSC,2,a
2308,Canadian Nuclear Safety Commission,,Canadian Nuclear Safety Commission,,Canadian Nuclear Safety Commission,,Natural Resources Canada,,CNSC,CCSN,2,a
2309,Transportation Safety Board of Canada,,Canadian Transportation Accident Investigation and Safety Board,,Transportation Safety Board of Canada,,Privy Council Office,,TSB,BST,2,a
2310,Law Commission of Canada,,Law Commission of Canada,,Law Commission of Canada,,Department of Justice Canada,,,,2,a
2311,The National Battlefields Commission,,The National Battlefields Commission,,The National Battlefields Commission,,Canadian Heritage,,NBC,CCBN,2,a
2312,Canada Energy Regulator,,Canadian Energy Regulator,,Canada Energy Regulator,,Natural Resources Canada,,CER,REC,2,a
2313,National Research Council Canada,,National Research Council of Canada,,National Research Council Canada,,"Innovation, Science and Economic Development Canada",,NRC,CNRC,2,a
2314,Natural Sciences and Engineering Research Council of Canada,,Natural Sciences and Engineering Research Council,,Natural Sciences and Engineering Research Council of Canada,,"Innovation, Science and Economic Development Canada",,NSERC,CRSNG,2,a
2315,Parks Canada,,Parks Canada Agency,,Parks Canada,,Environment and Climate Change Canada,,PC,PC,2,a
2316,Social Sciences and Humanities Research Council of Canada,,Social Sciences and Humanities Research Council,,Social Sciences and Humanities Research Council of Canada,,"Innovation, Science and Economic Development Canada",,SSHRC,CRSH,2,a
2317,Invest in Canada Hub,,Invest in Canada Hub,,,,Global Affairs Canada,,,,2,a
2318,Polar Knowledge Canada,,Canadian High Arctic Research Station,,Polar Knowledge Canada,,Crown-Indigenous Relations and Northern Affairs Canada,,POLAR,POLAIRE,2,a
