rgnumber,rg_dept_en,rg_dept_fr
180,Invest in Canada Hub,Investir au Canada
183,Office of the Parliamentary Budget Officer,Bureau du directeur parlementaire du budget
191,Department of Indigenous Services,Ministère des Services aux Autochtones
193,Leaders' Debates Commission,Commission des débats des chefs
190,Department for Women and Gender Equality,Ministère des Femmes et de l'Égalité des genres
195,Canadian Energy Regulator,Régie canadienne de l'énergie
196,National Security and Intelligence Review Agency Secretariat,Secrétariat de l'Office de surveillance des activités en matière de sécurité nationale et de renseignement
197,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement
194,Impact Assessment Agency of Canada,Agence canadienne d'évaluation d'impact
199,Canadian Accessibility Standards Development Organization,Organisation canadienne d'élaboration de normes d'accessibilité
200,Federal Economic Development Agency for Northern Ontario,Agence fédérale de développement économique pour le Nord de l'Ontario
240,Pacific Economic Development Agency of Canada,Agence de développement économique du Pacifique Canada
241,Canada Water Agency,Agence canadienne de l'eau
242,"Department of Housing, Infrastructure and Communities","Ministère du Logement, de l'Infrastructure et des Collectivités"
243,Miscarriage of Justice Review Commission,Commission d'examen des erreurs du système judiciaire
244,Department of National Defence – Canadian Coast Guard,Ministère de la Défense nationale – Garde côtière canadienne
