RGOriginalName,rgnumber,MatchedName,MatchScore,Organization Legal Name English,gc_orgID
Canada Border Services Agency,85,Canada Border Services Agency,100.0,Canada Border Services Agency,2300
Canada Mortgage and Housing Corporation (Crown Corporation),91,Canada Mortgage and Housing Corporation,90.0,Canada Mortgage and Housing Corporation,3631
Canada Revenue Agency,130,Canada Revenue Agency,100.0,Canada Revenue Agency,2303
Export Development Canada (Crown Corporation),123,Export Development Canada,90.0,Export Development Canada,3640
Office of the Auditor General,2,Office of the Auditor General,100.0,Office of the Auditor General,2270
Offices of the Information and Privacy Commissioners of Canada,96,Office of the Information Commissioner of Canada,87.27272727272728,Office of the Information Commissioner of Canada,2281
Offices of the Information and Privacy Commissioners of Canada,96,Office of the Privacy Commissioner of Canada,87.27272727272728,Office of the Privacy Commissioner of Canada,2282
Senate,9,Senate,100.0,Senate,3432
Office of the Senate Ethics Officer,151,Senate Ethics Officer,90.0,Senate Ethics Officer,3431
